HIP,n_HD,HD,DM,GC,HR,RAJ2000,DEJ2000,Vmag_viz,Fl,Bayer,Cst,SimbadName,RAhms,DEdms,Vmag_hip,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA_icrs,_DE_icrs,distance,x,y,z
17886, ,23848,BD+32   667 ,4592.0,1177.0,57.38624999999999,33.091388888888886,5.14,42.0,n,Per,HD  23848,03 49 32.70,+33 05 29.0,5.14,57.3862602,33.09138142,10.96,-18.15,0.3,0.81,0.057, ,57.38620754,33.09138215,91.24087591240875,26.849116786143465,41.96060477197846,76.44167719403741
17959, ,23401,BD+70   259 ,4557.0,1148.0,57.5895,71.3323611111111,4.59,,gam,Cam,HD  23401,03 50 21.48,+71 19 56.5,4.59,57.58948256,71.33236777,9.73,18.27,-42.0,0.55,0.064, ,57.5896213,71.33226569,102.7749229188078,52.18747983892934,82.20100856040925,32.895986391651995
18089, ,24263,BD+06   594 ,4662.0,1199.0,58.00091666666666,6.534916666666666,5.66,31.0, ,Tau,HD  24263,03 52 00.22,+06 32 05.7,5.66,58.00093529,6.53491424,4.63,7.6,-2.8,1.49,0.046, ,58.00095388,6.53490743,215.98272138228944,13.025458115477576,20.845832497720036,214.57941337429975
18141, ,24388,BD-05   769 ,4675.0,1202.0,58.17354166666666,-5.361249999999999,5.48,30.0, ,Eri,HD  24388,03 52 41.65,-05 21 40.5,5.48,58.17355849,-5.36124167,6.49,3.24,-7.1,0.91,-0.09, ,58.1735664,-5.36125893,154.08320493066256,-7.592106050070518,-12.232197279114626,153.40915004377626
18213,X,24626,CD-35  1455 ,4701.0,1214.0,58.41216666666666,-34.73230555555555,5.11,,i,Eri,HD  24626,03 53 38.92,-34 43 56.3,5.11,58.41218403,-34.73229529,9.19,31.99,-0.81,0.56,-0.133, ,58.41227864,-34.73229726,108.8139281828074,-32.47380242764512,-52.81053671753243,89.42578114878054
18216, ,24587,CD-24  1945 ,4698.0,1213.0,58.427833333333325,-24.61222222222222,4.64,33.0,tau08,Eri,HD  24587,03 53 42.68,-24 36 44.0,4.64,58.42784574,-24.61221253,8.46,30.93,-7.18,0.75,-0.136, ,58.42792843,-24.61222998,118.20330969267138,-25.774769434542222,-41.94192930485917,107.46421845937355
18246,M,24398,BD+31   666 ,4688.0,1203.0,58.533,31.883666666666663,2.84,44.0,zet,Per,HD  24398,03 54 07.92,+31 53 01.2,2.84,58.53299363,31.88365776,3.32,4.41,-9.15,0.75,0.271, ,58.53300625,31.88363552,301.2048192771084,83.04890708594064,135.6988724325335,255.75972749462596
18255,M,24554,BD-03   631B,4705.0,1211.0,58.57249999999999,-2.952777777777777,6.14,32.0,w,Eri,HD  24554,03 54 17.49,-02 57 17.0,4.46,58.57286091,-2.95473348,9.46,26.42,1.49,0.86,0.672, ,58.57292521,-2.95472986,105.70824524312894,-2.839303340515802,-4.646509216302294,105.56789957664616
18350, ,24534,BD+30   591 ,4720.0,1209.0,58.84616666666666,31.04586111111111,6.79,,X,Per,HD  24534,03 55 23.08,+31 02 45.1,6.79,58.84616124,31.04584808,1.21,-1.99,-4.51,0.94,0.081, ,58.84615559,31.04583712,826.4462809917355,220.49870521721562,364.74959434815435,708.0617979989169
18453,M,24546,BD+50   860 ,4728.0,1210.0,59.15183333333332,50.69569444444444,5.28,43.0,A,Per,HD  24546,03 56 36.44,+50 41 44.5,5.28,59.15181574,50.69569169,24.51,94.13,-127.9,0.85,0.425, ,59.15217692,50.69538082,40.79967360261118,16.188233394658486,27.104182052199448,25.844105341855055
