HIP,n_HD,HD,DM,GC,HR,RAJ2000,DEJ2000,Vmag_viz,Fl,Bayer,Cst,SimbadName,RAhms,DEdms,Vmag_hip,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA_icrs,_DE_icrs,distance,x,y,z
38423, ,64379,CD-34  4036 ,10651.0,3079.0,118.06583333333332,-34.70602777777777,5.01,212.0, ,Pup,HD  64379,07 52 15.80,-34 42 21.7,5.01,118.06584635,-34.70602121,55.48,-198.24,238.13,0.54,0.47, ,118.06526024,-34.70544242,18.024513338139872,-6.971501256654338,13.07522141850123,10.262545306229635
38427, ,64238,BD-14  2250 ,10640.0,3073.0,118.07866666666663,-14.846166666666663,5.69,10.0, ,Pup,HD  64238,07 52 18.88,-14 50 46.2,5.69,118.07868058,-14.84617833,2.75,-7.73,1.34,0.84,0.368, ,118.07866114,-14.84617507,363.6363636363637,-165.4438881321009,310.126728717834,93.17261922467134
38455,X,64503,CD-38  3769 ,10661.0,3084.0,118.16104166666663,-38.86283333333333,4.49,,b,Pup,HD  64503,07 52 38.65,-38 51 46.2,4.49,118.16105542,-38.86282206,5.09,-9.49,4.02,0.52,-0.188, ,118.1610258,-38.86281229,196.46365422396858,-72.19747034276237,134.86783033546226,123.2727100689605
38518,X,64760,CD-47  3396 ,10689.0,3090.0,118.32566666666663,-48.10294444444444,4.22,,J,Pup,HD  64760,07 53 18.16,-48 06 10.6,4.22,118.32567862,-48.10294824,1.68,-4.9,5.89,0.5,-0.13, ,118.32566079,-48.10293392,595.2380952380953,-188.60521967805724,349.9023089423581,443.0630150776233
38538,X,64145,BD+27  1499 ,10653.0,3067.0,118.37433333333333,26.765861111111107,4.97,83.0,phi,Gem,HD  64145,07 53 29.84,+26 45 57.1,4.97,118.37431874,26.76585858,12.82,-34.02,-31.17,0.94,0.098, ,118.37422613,26.76578282,78.003120124805,-33.09760131929234,61.27832881146081,-35.12836395547661
38623, ,64106,BD+47  1498 ,10659.0,3065.0,118.622,47.385972222222215,6.25,25.0, ,Lyn,HD  64106,07 54 29.28,+47 23 09.5,6.25,118.62199178,47.38597337,5.3,-16.08,3.55,0.88,1.133, ,118.62193405,47.385982,188.67924528301887,-61.19424555914984,112.13571693674615,-138.85497073600934
38639, ,64144,BD+47  1499 ,10666.0,3066.0,118.67808333333332,47.56458333333333,5.47,26.0, ,Lyn,HD  64144,07 54 42.74,+47 33 52.5,5.47,118.6780776,47.56459225,6.42,-48.4,1.48,0.86,1.462, ,118.67790326,47.56459585,155.7632398753894,-50.437472519398895,92.20964696634043,-114.95925047022462
38722, ,64648,BD+20  1946 ,10707.0,3086.0,118.91624999999998,19.884055555555552,5.38,85.0, ,Gem,HD  64648,07 55 39.90,+19 53 02.6,5.38,118.91626746,19.88406657,9.61,-14.67,-39.79,0.73,-0.035, ,118.91622954,19.88396986,104.05827263267432,-47.31570463607525,85.65482475638066,-35.39207812549841
38827, ,65575,CP-52  1343 ,10770.0,3117.0,119.19474999999998,-52.982388888888885,3.46,,chi,Car,HD  65575,07 56 46.74,-52 58 56.6,3.46,119.19475729,-52.98240062,8.43,-28.38,16.76,0.52,-0.177, ,119.19464272,-52.98235988,118.62396204033215,-34.83663815043609,62.34623842906477,94.71536077251646
38835,X,65228,BD-22  2087 ,10756.0,3102.0,119.21483333333332,-22.880138888888887,4.2,11.0,j,Pup,HD  65228,07 56 51.56,-22 52 48.5,4.2,119.21482616,-22.88014849,6.49,-29.61,12.28,0.7,0.718, ,119.21474805,-22.88011864,154.08320493066256,-69.28862433542143,123.90206212886034,59.90825969451478
38848, ,64960,BD+16  1590 ,10742.0,3095.0,119.24779166666664,15.790388888888886,5.8,1.0, ,Cnc,HD  64960,07 56 59.47,+15 47 25.4,5.8,119.24778711,15.79038246,7.06,-28.28,-41.64,0.9,1.285, ,119.24771568,15.79028125,141.643059490085,-66.59349879335282,118.92199959664349,-38.543744396560626
